  0 236 236
 18 246 246
 36 246 246
 54   0   0
 72   0   0
 91   0   0
109   0   0
127   0   0
145   0   0
163   0   0
182   0   0
200   0   0
218 255 255
236 201 201
255   0   0
  0 236 236
 18 160 160
 36   0   0
 54 255 255
 72 200 200
 91 144 144
109 255 255
127 192 192
145 144 144
163   0   0
182   0   0
200   0   0
218   0   0
236  85  85
255   0   0
  0   0   0
 18   1   1
 36   0   0
 54   0   0
 72   0   0
 91   0   0
109 255 255
127 231 231
145 255 255
163 255 255
182 214 214
200 192 192
218 255 255
236 153 153
255   0   0
